Ga68 - 4p0mm - Soft tissue						
i	j	k	S [mGy/(MBq·s)]
0	0	0	7.62E-01
0	0	1	1.06E-01
0	0	2	1.95E-03
0	0	3	2.47E-04
0	1	0	1.06E-01
0	1	1	2.59E-02
0	1	2	9.62E-04
0	1	3	2.52E-04
0	2	0	1.91E-03
0	2	1	9.08E-04
0	2	2	3.05E-04
0	2	3	1.81E-04
0	3	0	2.72E-04
0	3	1	2.59E-04
0	3	2	1.80E-04
0	3	3	1.48E-04
1	0	0	1.06E-01
1	0	1	2.59E-02
1	0	2	9.69E-04
1	0	3	2.59E-04
1	1	0	2.31E-02
1	1	1	7.22E-03
1	1	2	5.75E-04
1	1	3	2.30E-04
1	2	0	8.37E-04
1	2	1	5.44E-04
1	2	2	2.66E-04
1	2	3	1.68E-04
1	3	0	2.38E-04
1	3	1	2.31E-04
1	3	2	1.69E-04
1	3	3	1.23E-04
2	0	0	1.96E-03
2	0	1	9.46E-04
2	0	2	3.38E-04
2	0	3	1.85E-04
2	1	0	8.82E-04
2	1	1	5.32E-04
2	1	2	2.88E-04
2	1	3	1.62E-04
2	2	0	3.18E-04
2	2	1	2.70E-04
2	2	2	1.93E-04
2	2	3	1.53E-04
2	3	0	1.94E-04
2	3	1	1.69E-04
2	3	2	1.50E-04
2	3	3	1.11E-04
3	0	0	2.74E-04
3	0	1	2.41E-04
3	0	2	1.89E-04
3	0	3	1.31E-04
3	1	0	2.34E-04
3	1	1	2.25E-04
3	1	2	1.70E-04
3	1	3	1.29E-04
3	2	0	1.85E-04
3	2	1	1.79E-04
3	2	2	1.56E-04
3	2	3	1.25E-04
3	3	0	1.45E-04
3	3	1	1.32E-04
3	3	2	1.08E-04
3	3	3	7.98E-05
