Ga68 - 4p0mm - Spongiosa						
i	j	k	S [mGy/(MBq·s)]
0	0	0	7.59E-01
0	0	1	1.06E-01
0	0	2	2.00E-03
0	0	3	2.53E-04
0	1	0	1.06E-01
0	1	1	2.62E-02
0	1	2	9.83E-04
0	1	3	2.37E-04
0	2	0	1.99E-03
0	2	1	9.42E-04
0	2	2	3.25E-04
0	2	3	1.84E-04
0	3	0	2.58E-04
0	3	1	2.51E-04
0	3	2	1.85E-04
0	3	3	1.32E-04
1	0	0	1.06E-01
1	0	1	2.62E-02
1	0	2	9.83E-04
1	0	3	2.48E-04
1	1	0	2.33E-02
1	1	1	7.42E-03
1	1	2	5.51E-04
1	1	3	2.25E-04
1	2	0	8.98E-04
1	2	1	5.20E-04
1	2	2	2.59E-04
1	2	3	1.76E-04
1	3	0	2.47E-04
1	3	1	2.14E-04
1	3	2	1.66E-04
1	3	3	1.37E-04
2	0	0	2.03E-03
2	0	1	9.12E-04
2	0	2	3.17E-04
2	0	3	1.84E-04
2	1	0	8.84E-04
2	1	1	5.26E-04
2	1	2	2.78E-04
2	1	3	1.74E-04
2	2	0	3.11E-04
2	2	1	2.70E-04
2	2	2	1.98E-04
2	2	3	1.45E-04
2	3	0	1.78E-04
2	3	1	1.73E-04
2	3	2	1.43E-04
2	3	3	1.06E-04
3	0	0	2.81E-04
3	0	1	2.48E-04
3	0	2	1.81E-04
3	0	3	1.21E-04
3	1	0	2.42E-04
3	1	1	2.31E-04
3	1	2	1.78E-04
3	1	3	1.23E-04
3	2	0	1.85E-04
3	2	1	1.68E-04
3	2	2	1.41E-04
3	2	3	1.08E-04
3	3	0	1.36E-04
3	3	1	1.29E-04
3	3	2	1.13E-04
3	3	3	9.05E-05
